eventID	parentEventID	eventDate	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	minimumDepthInMeters	maximumDepthInMeters	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventRemarks
BT2301:C17	BT2301	2023-07-08T00:00:00Z	38.818722	-74.445524	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8129,-74.4539; End: 38.8245,-74.4371
BT2301:C18	BT2301	2023-07-08T00:00:00Z	38.819154	-74.466469	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8255,-74.4604; End: 38.8128,-74.4726
BT2301:C19	BT2301	2023-07-08T00:00:00Z	38.829753	-74.42566	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8237,-74.4185; End: 38.8358,-74.4328
BT2301:C21	BT2301	2023-07-08T00:00:00Z	38.858427	-74.465424	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8581,-74.4760; End: 38.8588,-74.4549
BT2301:C22	BT2301	2023-07-08T00:00:00Z	38.871414	-74.454158	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8714,-74.4542; End: 38.8714,-74.4541
BT2301:C23	BT2301	2023-07-08T00:00:00Z	38.870289	-74.528281	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8620,-74.5304; End: 38.8786,-74.5261
BT2301:C24	BT2301	2023-07-08T00:00:00Z	38.880833	-74.511361	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8886,-74.5135; End: 38.8730,-74.5092
BT2301:C25	BT2301	2023-07-08T00:00:00Z	38.906858	-74.494178	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8993,-74.4976; End: 38.9144,-74.4908
BT2301:C26	BT2301	2023-07-08T00:00:00Z	38.896346	-74.571496	EPSG:4326				Bottom otter trawl		minutes	Start: 38.8910,-74.5645; End: 38.9017,-74.5785
BT2301:C27	BT2301	2023-07-08T00:00:00Z	38.912698	-74.545577	EPSG:4326				Bottom otter trawl		minutes	Start: 38.9127,-74.5525; End: 38.9127,-74.5387
