measurementID	occurrenceID	eventID	measurementType	measurementValue	measurementUnit	measurementTypeID	measurementValueID	measurementAccuracy	measurementDeterminedDate	measurementDeterminedBy	measurementMethod	measurementRemarks
BT2301:C01:ATLANTIC_ROCK_CRAB_weight	BT2301:C01:ATLANTIC_ROCK_CRAB	BT2301:C01	total biomass	0.5	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:ATLANTIC_ROCK_CRAB_count	BT2301:C01:ATLANTIC_ROCK_CRAB	BT2301:C01	abundance	10.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:ATLANTIC_ROCK_CRAB_mean_length	BT2301:C01:ATLANTIC_ROCK_CRAB	BT2301:C01	mean CW length	64.3	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: CW
BT2301:C01:ATLANTIC_ROCK_CRAB_std_length	BT2301:C01:ATLANTIC_ROCK_CRAB	BT2301:C01	std dev CW length	17.86	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: CW
BT2301:C01:BUTTERFISH_weight	BT2301:C01:BUTTERFISH	BT2301:C01	total biomass	169.1	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:BUTTERFISH_count	BT2301:C01:BUTTERFISH	BT2301:C01	abundance	4570.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:BUTTERFISH_mean_length	BT2301:C01:BUTTERFISH	BT2301:C01	mean FL length	121.43	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: FL
BT2301:C01:BUTTERFISH_std_length	BT2301:C01:BUTTERFISH	BT2301:C01	std dev FL length	6.44	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: FL
BT2301:C01:CLEARNOSE_SKATE_weight	BT2301:C01:CLEARNOSE_SKATE	BT2301:C01	total biomass	3.55	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:CLEARNOSE_SKATE_count	BT2301:C01:CLEARNOSE_SKATE	BT2301:C01	abundance	2.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:CLEARNOSE_SKATE_mean_length	BT2301:C01:CLEARNOSE_SKATE	BT2301:C01	mean TL length	677.0	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: TL
BT2301:C01:CLEARNOSE_SKATE_std_length	BT2301:C01:CLEARNOSE_SKATE	BT2301:C01	std dev TL length	48.08	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: TL
BT2301:C01:COARSEHAND_LADY_CRAB_weight	BT2301:C01:COARSEHAND_LADY_CRAB	BT2301:C01	total biomass	0.09	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:COARSEHAND_LADY_CRAB_count	BT2301:C01:COARSEHAND_LADY_CRAB	BT2301:C01	abundance	2.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:COARSEHAND_LADY_CRAB_mean_length	BT2301:C01:COARSEHAND_LADY_CRAB	BT2301:C01	mean CW length	60.0	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: CW
BT2301:C01:COARSEHAND_LADY_CRAB_std_length	BT2301:C01:COARSEHAND_LADY_CRAB	BT2301:C01	std dev CW length	2.83	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: CW
BT2301:C01:FOURSPOT_FLOUNDER_weight	BT2301:C01:FOURSPOT_FLOUNDER	BT2301:C01	total biomass	0.14	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:FOURSPOT_FLOUNDER_count	BT2301:C01:FOURSPOT_FLOUNDER	BT2301:C01	abundance	1.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:FOURSPOT_FLOUNDER_mean_length	BT2301:C01:FOURSPOT_FLOUNDER	BT2301:C01	mean TL length	234.0	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: TL
BT2301:C01:LADY_CRAB_weight	BT2301:C01:LADY_CRAB	BT2301:C01	total biomass	0.61	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:LADY_CRAB_count	BT2301:C01:LADY_CRAB	BT2301:C01	abundance	12.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:LADY_CRAB_mean_length	BT2301:C01:LADY_CRAB	BT2301:C01	mean CW length	66.67	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: CW
BT2301:C01:LADY_CRAB_std_length	BT2301:C01:LADY_CRAB	BT2301:C01	std dev CW length	4.66	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: CW
BT2301:C01:LITTLE_SKATE_weight	BT2301:C01:LITTLE_SKATE	BT2301:C01	total biomass	3.28	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:LITTLE_SKATE_count	BT2301:C01:LITTLE_SKATE	BT2301:C01	abundance	6.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:LITTLE_SKATE_mean_length	BT2301:C01:LITTLE_SKATE	BT2301:C01	mean TL length	461.17	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: TL
BT2301:C01:LITTLE_SKATE_std_length	BT2301:C01:LITTLE_SKATE	BT2301:C01	std dev TL length	13.47	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: TL
BT2301:C01:LONGFIN_SQUID_weight	BT2301:C01:LONGFIN_SQUID	BT2301:C01	total biomass	0.93	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:LONGFIN_SQUID_count	BT2301:C01:LONGFIN_SQUID	BT2301:C01	abundance	21.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:LONGFIN_SQUID_mean_length	BT2301:C01:LONGFIN_SQUID	BT2301:C01	mean ML length	118.95	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: ML
BT2301:C01:LONGFIN_SQUID_std_length	BT2301:C01:LONGFIN_SQUID	BT2301:C01	std dev ML length	23.78	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: ML
BT2301:C01:LONGFIN_SQUID_weight	BT2301:C01:LONGFIN_SQUID	BT2301:C01	total biomass	0.08	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:LONGFIN_SQUID_count	BT2301:C01:LONGFIN_SQUID	BT2301:C01	abundance	5.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:LONGFIN_SQUID_mean_length	BT2301:C01:LONGFIN_SQUID	BT2301:C01	mean ML length	64.2	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: ML
BT2301:C01:LONGFIN_SQUID_std_length	BT2301:C01:LONGFIN_SQUID	BT2301:C01	std dev ML length	6.87	mm	http://vocab.nerc.ac.uk/collection/S06/current/S0600138/					Caliper measurement	Length type: ML
BT2301:C01:LONGFIN_SQUID_weight	BT2301:C01:LONGFIN_SQUID	BT2301:C01	total biomass	0.0	kg	http://vocab.nerc.ac.uk/collection/P01/current/OWETXX01/					Bottom otter trawl	
BT2301:C01:LONGFIN_SQUID_count	BT2301:C01:LONGFIN_SQUID	BT2301:C01	abundance	5.0	individuals	http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/					Bottom otter trawl	
BT2301:C01:LONGFIN_SQUID_mean_length	BT2301:C01:LONGFIN_SQUID	BT2301:C01	mean ML length	34.0	mm	http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/					Caliper measurement	Length type: ML
