eventID	parentEventID	eventType	datasetID	eventDate	locationID	decimalLatitude	decimalLongitude	geodeticDatum	footprintWKT	footprintSRS	coordinateUncertaintyInMeters	minimumDepthInMeters	maximumDepthInMeters	waterBody	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	eventRemarks
BT2301		cruise	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z				EPSG:4326		EPSG:4326					Bottom otter trawl				Survey cruise - parent event for multiple tows
BT2302		cruise	bottom_trawl_survey_ow1_tows	2023-09-11T00:00:00Z				EPSG:4326		EPSG:4326					Bottom otter trawl				Survey cruise - parent event for multiple tows
BT2301:C17	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C17	38.818722	-74.445524	EPSG:4326	LINESTRING (-74.45392 38.81292, -74.43712716666667 38.824524333333336)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8129,-74.4539 to 38.8245,-74.4371
BT2301:C18	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C18	38.819154	-74.466469	EPSG:4326	LINESTRING (-74.4603665 38.825505, -74.4725715 38.81280316666667)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8255,-74.4604 to 38.8128,-74.4726
BT2301:C19	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C19	38.829753	-74.42566	EPSG:4326	LINESTRING (-74.41848816666666 38.82367283333333, -74.43283116666667 38.835833666666666)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8237,-74.4185 to 38.8358,-74.4328
BT2301:C21	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C21	38.858427	-74.465424	EPSG:4326	LINESTRING (-74.4759615 38.8580865, -74.45488633333333 38.858768)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8581,-74.4760 to 38.8588,-74.4549
BT2301:C22	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C22	38.871414	-74.454158	EPSG:4326	LINESTRING (-74.4541665 38.871415, -74.45415 38.87141316666667)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8714,-74.4542 to 38.8714,-74.4541
BT2301:C23	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C23	38.870289	-74.528281	EPSG:4326	LINESTRING (-74.530421 38.86199916666666, -74.5261415 38.87857816666666)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8620,-74.5304 to 38.8786,-74.5261
BT2301:C24	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C24	38.880833	-74.511361	EPSG:4326	LINESTRING (-74.51351 38.88862316666667, -74.50921116666666 38.87304216666666)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8886,-74.5135 to 38.8730,-74.5092
BT2301:C25	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C25	38.906858	-74.494178	EPSG:4326	LINESTRING (-74.49759816666666 38.89927316666667, -74.49075716666667 38.914443166666665)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8993,-74.4976 to 38.9144,-74.4908
BT2301:C26	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C26	38.896346	-74.571496	EPSG:4326	LINESTRING (-74.56449916666666 38.89096633333333, -74.57849316666666 38.9017265)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.8910,-74.5645 to 38.9017,-74.5785
BT2301:C27	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C27	38.912698	-74.545577	EPSG:4326	LINESTRING (-74.55249916666666 38.9126975, -74.538655 38.9126975)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.9127,-74.5525 to 38.9127,-74.5387
BT2301:C28	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-08T00:00:00Z	C28	38.925833	-74.526709	EPSG:4326	LINESTRING (-74.51827833333333 38.9199135, -74.5351395 38.931752)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 38.9199,-74.5183 to 38.9318,-74.5351
BT2301:I01	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-09T00:00:00Z	I01	39.105144	-74.355888	EPSG:4326	LINESTRING (-74.36359816666666 39.111168166666666, -74.34817816666667 39.09912)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 39.1112,-74.3636 to 39.0991,-74.3482
BT2301:I03	BT2301	tow	bottom_trawl_survey_ow1_tows	2023-07-09T00:00:00Z	I03	39.074411	-74.321596	EPSG:4326	LINESTRING (-74.32886166666667 39.0796305, -74.31433 39.0691915)	EPSG:4326					Bottom otter trawl	20 minutes at 3 knots (~1 nautical mile)	20.0	minutes	Tow from 39.0796,-74.3289 to 39.0692,-74.3143
